State Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver License Status,Alcohol Involvement,Accident Location Details
Telangana,2021,August,Friday,18:57,Minor,3,Bus,54,3,Clear,National Highway,Wet,Dawn,Police Checkpost,47,45,Valid,No,Intersection
Arunachal Pradesh,2018,August,Friday,12:06,Minor,4,Cycle,10,5,Stormy,State Highway,Under Construction,Dusk,Signals,60,56,None,No,Curve
Andhra Pradesh,2019,October,Sunday,12:47,Minor,2,Cycle,8,4,Rainy,Village Road,Damaged,Dark,Signs,90,11,Valid,No,Curve
Karnataka,2023,October,Thursday,18:59,Minor,5,Car,15,2,Rainy,Village Road,Wet,Dark,Signs,114,23,Expired,No,Intersection
Sikkim,2023,November,Wednesday,10:51,Serious,3,Auto-Rickshaw,9,1,Rainy,National Highway,Under Construction,Dawn,Signs,80,38,Valid,Yes,Bridge
Chhattisgarh,2022,April,Saturday,06:39,Fatal,3,Car,8,5,Foggy,State Highway,Wet,Daylight,Signs,46,33,Valid,Yes,Straight Road
Madhya Pradesh,2018,June,Tuesday,08:10,Serious,5,Two-Wheeler,10,3,Rainy,Urban Road,Dry,Dusk,Signals,30,21,Expired,Yes,Bridge
Puducherry,2022,February,Wednesday,01:35,Serious,2,Car,7,3,Clear,Urban Road,Dry,Dusk,Signs,55,21,Valid,No,Straight Road
Uttar Pradesh,2022,July,Friday,18:51,Fatal,1,Two-Wheeler,3,4,Rainy,National Highway,Wet,Dawn,Signals,34,38,Expired,Yes,Bridge
Maharashtra,2022,December,Tuesday,13:34,Minor,3,Cycle,11,3,Clear,National Highway,Dry,Daylight,None,106,22,None,No,Intersection
Jammu and Kashmir,2022,February,Monday,03:29,Minor,1,Two-Wheeler,4,1,Snowy,Urban Road,Damaged,Dawn,Police Checkpost,31,37,None,No,Straight Road
Tamil Nadu,2018,August,Tuesday,11:10,Fatal,3,Auto-Rickshaw,13,2,Clear,National Highway,Wet,Daylight,Police Checkpost,92,50,None,Yes,Intersection
Madhya Pradesh,2019,April,Wednesday,15:58,Minor,2,Pedestrian,7,5,Clear,State Highway,Under Construction,Daylight,Police Checkpost,71,45,None,No,Straight Road
Madhya Pradesh,2023,August,Wednesday,00:54,Serious,1,Car,9,1,Clear,National Highway,Damaged,Dusk,None,90,29,Expired,No,Bridge
Chandigarh,2019,March,Friday,15:42,Minor,2,Bus,9,0,Clear,Village Road,Wet,Daylight,Signals,83,57,Expired,No,Curve
Uttar Pradesh,2018,May,Sunday,10:53,Fatal,3,Two-Wheeler,6,1,Foggy,National Highway,Under Construction,Dusk,None,33,64,Valid,Yes,Straight Road
Gujarat,2019,March,Thursday,15:01,Serious,2,Car,8,0,Clear,State Highway,Under Construction,Dawn,Signs,69,47,Valid,No,Bridge
Uttar Pradesh,2022,November,Tuesday,09:25,Minor,1,Bus,5,3,Clear,National Highway,Under Construction,Dark,Signals,53,39,Valid,No,Straight Road
Maharashtra,2020,July,Saturday,23:21,Serious,5,Bus,12,2,Clear,Urban Road,Damaged,Dawn,Signs,82,53,Valid,No,Curve
Odisha,2018,July,Thursday,12:01,Fatal,3,Auto-Rickshaw,9,2,Clear,State Highway,Damaged,Dark,Signs,79,66,Valid,Yes,Curve
Telangana,2023,August,Saturday,17:37,Serious,2,Pedestrian,5,3,Stormy,National Highway,Dry,Dawn,None,30,36,None,Yes,Bridge
West Bengal,2023,February,Sunday,11:02,Fatal,3,Cycle,13,5,Clear,Village Road,Damaged,Dark,None,106,49,Expired,Yes,Straight Road
Kerala,2019,January,Tuesday,16:03,Minor,2,Car,11,1,Foggy,State Highway,Damaged,Dawn,None,102,51,Expired,No,Bridge
Assam,2020,July,Thursday,19:18,Minor,2,Car,6,5,Clear,National Highway,Under Construction,Dawn,None,48,24,Expired,No,Curve
Nagaland,2018,June,Saturday,17:43,Minor,5,Truck,8,3,Clear,Urban Road,Under Construction,Dusk,Police Checkpost,32,49,Valid,No,Intersection
Meghalaya,2022,February,Monday,06:20,Minor,1,Truck,6,1,Rainy,Urban Road,Under Construction,Dusk,Signs,59,73,Valid,No,Straight Road
Chhattisgarh,2022,February,Wednesday,17:08,Minor,2,Truck,9,5,Rainy,National Highway,Under Construction,Daylight,None,88,46,Expired,No,Bridge
Gujarat,2022,July,Tuesday,20:19,Serious,5,Auto-Rickshaw,12,2,Clear,Village Road,Damaged,Dusk,Signs,83,45,Valid,No,Intersection
West Bengal,2020,April,Friday,07:58,Minor,2,Auto-Rickshaw,7,5,Clear,State Highway,Under Construction,Dawn,None,58,41,Valid,No,Bridge
West Bengal,2018,December,Sunday,07:46,Serious,5,Cycle,9,5,Rainy,Village Road,Damaged,Dark,Signals,30,75,Valid,Yes,Straight Road
Tripura,2022,February,Sunday,10:52,Minor,1,Truck,10,1,Clear,National Highway,Damaged,Dawn,Signs,104,25,Valid,No,Curve
Karnataka,2021,February,Wednesday,22:36,Fatal,3,Truck,12,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,27,None,Yes,Intersection
West Bengal,2021,November,Friday,09:04,Minor,3,Auto-Rickshaw,10,4,Foggy,State Highway,Damaged,Dark,Signs,82,55,None,No,Intersection
Chhattisgarh,2020,January,Tuesday,19:34,Fatal,5,Cycle,14,2,Rainy,Village Road,Wet,Daylight,Signs,82,25,Valid,Yes,Curve
Himachal Pradesh,2019,October,Wednesday,05:00,Fatal,2,Car,12,5,Clear,Village Road,Under Construction,Daylight,Signs,108,42,None,Yes,Intersection
Gujarat,2023,May,Sunday,04:33,Minor,4,Auto-Rickshaw,7,4,Clear,National Highway,Dry,Dusk,None,41,19,Valid,No,Curve
Gujarat,2019,December,Wednesday,00:26,Serious,4,Two-Wheeler,9,5,Rainy,State Highway,Wet,Dusk,None,61,34,None,No,Intersection
Uttar Pradesh,2018,May,Thursday,18:57,Minor,2,Two-Wheeler,10,2,Clear,National Highway,Wet,Dusk,None,109,49,Valid,No,Bridge
Odisha,2022,August,Tuesday,22:43,Minor,4,Two-Wheeler,7,3,Clear,National Highway,Under Construction,Daylight,None,30,40,Expired,No,Curve
Uttarakhand,2022,May,Sunday,09:10,Fatal,5,Auto-Rickshaw,17,4,Clear,State Highway,Damaged,Dawn,Police Checkpost,114,36,None,Yes,Straight Road
Chhattisgarh,2021,April,Saturday,05:38,Serious,4,Pedestrian,10,4,Foggy,State Highway,Dry,Dusk,Signals,37,13,Valid,Yes,Intersection
Karnataka,2020,October,Thursday,20:21,Minor,2,Bus,58,5,Clear,State Highway,Under Construction,Dark,Signs,50,70,Expired,No,Straight Road
Uttarakhand,2022,February,Sunday,00:35,Serious,1,Car,8,1,Stormy,National Highway,Wet,Dark,Police Checkpost,89,53,None,No,Intersection
Arunachal Pradesh,2023,February,Friday,22:31,Fatal,2,Two-Wheeler,12,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117,46,None,Yes,Bridge
West Bengal,2022,November,Tuesday,00:24,Minor,5,Cycle,10,4,Rainy,State Highway,Wet,Dawn,Signs,45,57,None,No,Bridge
Chhattisgarh,2018,April,Monday,07:09,Fatal,3,Two-Wheeler,11,3,Foggy,State Highway,Dry,Dawn,None,70,63,Valid,Yes,Bridge
Haryana,2021,August,Sunday,08:33,Minor,1,Two-Wheeler,6,4,Rainy,State Highway,Dry,Dark,Signals,60,18,None,No,Intersection
Andhra Pradesh,2022,January,Monday,07:51,Serious,1,Pedestrian,12,0,Clear,National Highway,Dry,Dawn,None,95,57,Expired,No,Bridge
Assam,2023,June,Saturday,06:10,Minor,2,Bus,5,0,Clear,Urban Road,Dry,Dusk,Signals,31,43,Expired,No,Straight Road
Himachal Pradesh,2018,October,Saturday,10:06,Minor,1,Cycle,9,3,Clear,Village Road,Damaged,Dawn,None,85,47,Valid,No,Intersection
Odisha,2019,June,Thursday,21:56,Serious,5,Two-Wheeler,14,3,Clear,Village Road,Dry,Daylight,Police Checkpost,110,57,Valid,Yes,Curve
Telangana,2019,August,Saturday,10:54,Minor,3,Bus,10,2,Foggy,National Highway,Wet,Dawn,Signs,90,38,Valid,No,Intersection
Uttarakhand,2021,February,Thursday,20:23,Minor,1,Auto-Rickshaw,6,0,Clear,Urban Road,Wet,Dark,None,61,31,Expired,No,Straight Road
Goa,2018,February,Saturday,15:01,Fatal,3,Auto-Rickshaw,6,4,Clear,Village Road,Damaged,Dawn,None,35,40,None,Yes,Curve
Chandigarh,2023,August,Wednesday,17:55,Minor,4,Auto-Rickshaw,10,5,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85,47,Valid,No,Straight Road
Assam,2023,April,Sunday,05:27,Minor,2,Pedestrian,10,0,Rainy,State Highway,Wet,Daylight,Signals,99,50,Valid,No,Intersection
Odisha,2018,May,Wednesday,00:29,Minor,3,Pedestrian,5,3,Clear,Urban Road,Wet,Dusk,None,30,40,None,No,Intersection
Mizoram,2018,June,Friday,16:53,Fatal,4,Truck,13,2,Clear,Village Road,Dry,Dark,None,97,44,None,Yes,Intersection
Gujarat,2023,March,Wednesday,13:40,Minor,3,Truck,12,3,Foggy,Urban Road,Wet,Dawn,Signs,105,43,Expired,No,Intersection
Meghalaya,2018,April,Tuesday,02:42,Serious,5,Auto-Rickshaw,13,2,Rainy,State Highway,Under Construction,Dawn,Signs,94,41,Expired,Yes,Straight Road
Karnataka,2019,October,Monday,05:10,Serious,4,Bus,8,2,Stormy,Village Road,Wet,Dark,None,44,56,None,Yes,Bridge
Uttarakhand,2020,April,Saturday,16:57,Fatal,3,Bus,10,2,Clear,State Highway,Wet,Dark,Police Checkpost,66,54,Expired,Yes,Straight Road
Delhi,2018,January,Tuesday,04:43,Fatal,5,Two-Wheeler,11,4,Rainy,State Highway,Under Construction,Dusk,None,77,30,None,Yes,Intersection
Jharkhand,2022,April,Thursday,00:43,Serious,4,Cycle,7,3,Clear,State Highway,Dry,Dark,Police Checkpost,38,13,None,Yes,Straight Road
Assam,2020,April,Saturday,19:42,Minor,1,Car,4,2,Clear,Village Road,Damaged,Dark,Signals,43,52,None,No,Straight Road
Jammu and Kashmir,2023,February,Saturday,09:18,Minor,1,Cycle,6,1,Clear,National Highway,Dry,Dusk,Signals,41,55,None,No,Bridge
Punjab,2018,April,Tuesday,15:40,Minor,5,Car,9,3,Clear,National Highway,Dry,Dark,Police Checkpost,30,30,None,No,Curve
Jammu and Kashmir,2023,December,Friday,17:12,Serious,5,Cycle,12,3,Rainy,Urban Road,Under Construction,Dark,Signals,68,36,Expired,Yes,Intersection
Gujarat,2018,August,Thursday,09:03,Serious,4,Pedestrian,10,0,Clear,National Highway,Dry,Dawn,Signals,74,29,Expired,No,Bridge
Maharashtra,2019,June,Monday,16:44,Fatal,2,Car,9,5,Clear,State Highway,Under Construction,Dawn,Signals,101,37,None,Yes,Bridge
Manipur,2020,May,Sunday,08:53,Fatal,5,Two-Wheeler,9,1,Clear,Urban Road,Wet,Daylight,Signals,33,48,Valid,Yes,Bridge
Maharashtra,2023,May,Wednesday,12:02,Minor,4,Two-Wheeler,10,1,Clear,Urban Road,Under Construction,Dusk,Signs,57,48,Expired,No,Straight Road
Chandigarh,2020,October,Wednesday,17:06,Fatal,1,Car,5,1,Rainy,Village Road,Damaged,Dusk,None,43,22,Expired,Yes,Curve
Madhya Pradesh,2022,July,Sunday,02:57,Fatal,1,Car,6,2,Clear,Urban Road,Dry,Dawn,Signs,81,41,Expired,Yes,Intersection
Bihar,2023,March,Monday,03:27,Minor,4,Bus,53,1,Clear,Village Road,Dry,Dusk,Signals,67,48,Expired,No,Bridge
Tripura,2022,February,Saturday,02:35,Serious,4,Cycle,12,0,Foggy,State Highway,Under Construction,Dusk,Signals,98,54,Expired,Yes,Curve
Madhya Pradesh,2018,October,Tuesday,11:17,Minor,2,Bus,8,3,Clear,Village Road,Under Construction,Daylight,Signs,73,56,Expired,No,Curve
Jharkhand,2021,November,Tuesday,23:18,Fatal,2,Bus,10,0,Clear,Village Road,Dry,Dusk,None,95,50,Expired,Yes,Intersection
Assam,2022,May,Saturday,12:31,Fatal,2,Bus,11,4,Rainy,Urban Road,Damaged,Dark,None,82,58,None,Yes,Bridge
Punjab,2018,August,Sunday,14:45,Minor,1,Cycle,7,1,Rainy,Village Road,Wet,Daylight,Signals,74,29,Expired,No,Curve
Nagaland,2018,July,Friday,09:17,Minor,3,Auto-Rickshaw,7,3,Stormy,Urban Road,Damaged,Dawn,Signs,47,43,Valid,No,Curve
Uttar Pradesh,2020,April,Saturday,01:29,Minor,4,Car,8,3,Clear,National Highway,Damaged,Daylight,None,36,36,Expired,No,Curve
Gujarat,2022,August,Sunday,12:26,Fatal,1,Two-Wheeler,5,3,Rainy,State Highway,Under Construction,Daylight,Signs,59,59,Expired,Yes,Bridge
Tripura,2020,August,Monday,16:40,Minor,5,Cycle,9,5,Rainy,National Highway,Dry,Dusk,Police Checkpost,37,20,Expired,No,Straight Road
Assam,2020,February,Saturday,12:07,Fatal,2,Car,11,2,Clear,Village Road,Damaged,Dusk,None,73,45,None,Yes,Curve
Karnataka,2020,December,Tuesday,12:46,Serious,2,Car,7,0,Foggy,Urban Road,Dry,Dusk,None,60,19,Expired,Yes,Straight Road
Telangana,2023,September,Sunday,13:12,Minor,1,Car,7,3,Clear,State Highway,Dry,Dawn,Signs,84,41,Expired,No,Bridge
Tripura,2020,December,Sunday,10:51,Minor,4,Auto-Rickshaw,12,4,Clear,State Highway,Dry,Daylight,Signs,100,49,None,No,Intersection
Andhra Pradesh,2019,August,Saturday,06:11,Serious,4,Cycle,12,3,Rainy,State Highway,Wet,Dusk,None,98,46,None,No,Intersection
Kerala,2022,April,Monday,05:20,Serious,3,Two-Wheeler,9,3,Clear,Urban Road,Under Construction,Dusk,None,86,47,Expired,Yes,Curve
Jammu and Kashmir,2019,March,Sunday,07:50,Fatal,1,Car,5,0,Clear,National Highway,Dry,Daylight,Police Checkpost,50,43,Expired,Yes,Bridge
Goa,2020,June,Sunday,15:50,Serious,1,Auto-Rickshaw,5,5,Clear,Village Road,Wet,Dark,Signals,49,76,Valid,Yes,Curve
Gujarat,2023,August,Wednesday,10:13,Minor,4,Pedestrian,13,4,Clear,Village Road,Wet,Daylight,Signs,102,54,Valid,No,Curve
Uttarakhand,2021,May,Thursday,05:29,Fatal,2,Bus,9,2,Foggy,Village Road,Damaged,Daylight,Signals,86,44,Valid,Yes,Straight Road
Meghalaya,2019,September,Friday,20:43,Minor,5,Bus,15,4,Clear,National Highway,Dry,Dusk,None,103,50,Expired,No,Straight Road
Manipur,2022,August,Saturday,11:22,Fatal,4,Car,6,4,Foggy,Village Road,Under Construction,Dark,Signals,41,21,Expired,Yes,Straight Road
Chhattisgarh,2020,October,Friday,18:43,Minor,4,Auto-Rickshaw,13,5,Clear,State Highway,Damaged,Dusk,Signs,111,57,Expired,No,Curve
Karnataka,2022,December,Tuesday,22:37,Minor,4,Auto-Rickshaw,12,4,Clear,Urban Road,Wet,Dusk,None,92,42,None,No,Intersection
Manipur,2021,June,Wednesday,03:40,Fatal,5,Pedestrian,10,5,Clear,Urban Road,Under Construction,Dark,Signals,32,59,Valid,Yes,Intersection
Jharkhand,2019,October,Wednesday,08:16,Serious,1,Auto-Rickshaw,6,5,Clear,National Highway,Under Construction,Dusk,Signs,50,31,None,No,Curve
Mizoram,2021,May,Monday,03:50,Fatal,3,Truck,10,5,Rainy,State Highway,Under Construction,Dusk,Signs,83,40,Expired,Yes,Intersection
Chandigarh,2018,October,Tuesday,18:24,Minor,5,Two-Wheeler,15,0,Clear,State Highway,Damaged,Dusk,None,120,36,Expired,No,Intersection
Punjab,2023,May,Friday,02:20,Fatal,3,Truck,12,0,Clear,National Highway,Dry,Dusk,Signs,66,42,None,Yes,Intersection
Tripura,2023,February,Wednesday,13:20,Minor,4,Auto-Rickshaw,10,1,Clear,Village Road,Dry,Dawn,Police Checkpost,69,22,None,No,Straight Road
Telangana,2020,June,Monday,03:19,Fatal,5,Two-Wheeler,13,1,Clear,Urban Road,Damaged,Dusk,None,73,56,None,Yes,Curve
Karnataka,2022,June,Sunday,17:25,Serious,3,Bus,10,4,Rainy,National Highway,Wet,Daylight,None,86,52,None,No,Curve
Madhya Pradesh,2023,July,Monday,21:40,Minor,4,Cycle,11,1,Rainy,State Highway,Wet,Dusk,None,81,15,Expired,No,Intersection
Chandigarh,2020,May,Sunday,17:09,Minor,2,Bus,6,0,Rainy,National Highway,Under Construction,Dark,None,61,45,Valid,No,Bridge
Tamil Nadu,2019,May,Friday,22:03,Minor,3,Bus,7,4,Clear,National Highway,Wet,Daylight,None,35,37,Valid,No,Intersection
Delhi,2019,April,Monday,16:44,Serious,5,Bus,12,3,Clear,State Highway,Under Construction,Daylight,None,77,46,Expired,No,Intersection
Chhattisgarh,2018,October,Wednesday,10:18,Minor,1,Bus,12,2,Rainy,Urban Road,Wet,Daylight,Police Checkpost,119,39,Expired,No,Bridge
Puducherry,2022,February,Wednesday,04:31,Minor,5,Cycle,8,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,30,39,Valid,No,Bridge
West Bengal,2018,June,Saturday,20:12,Fatal,1,Bus,7,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,88,37,Expired,Yes,Intersection
Tamil Nadu,2023,November,Thursday,21:27,Serious,5,Two-Wheeler,13,1,Rainy,Urban Road,Under Construction,Dawn,Signals,80,41,None,Yes,Intersection
Punjab,2019,May,Tuesday,22:18,Fatal,5,Pedestrian,10,4,Clear,Village Road,Wet,Dawn,Signs,49,36,Expired,Yes,Intersection
Karnataka,2020,May,Thursday,06:49,Serious,2,Cycle,10,2,Rainy,Urban Road,Wet,Daylight,Signs,96,52,Valid,Yes,Intersection
Nagaland,2020,November,Sunday,20:49,Fatal,3,Cycle,10,4,Foggy,National Highway,Dry,Daylight,Police Checkpost,79,50,Expired,Yes,Intersection
Maharashtra,2019,July,Monday,20:04,Fatal,3,Pedestrian,5,2,Clear,National Highway,Wet,Dark,Signals,35,24,Valid,Yes,Bridge
Meghalaya,2022,October,Thursday,04:47,Fatal,5,Bus,12,2,Clear,Urban Road,Damaged,Dawn,Police Checkpost,95,46,None,Yes,Curve
Karnataka,2023,June,Sunday,23:33,Serious,3,Two-Wheeler,6,3,Rainy,National Highway,Wet,Dark,Signals,31,55,Valid,No,Straight Road
Haryana,2023,August,Sunday,06:01,Minor,1,Cycle,9,0,Foggy,Urban Road,Dry,Dusk,Signs,70,41,None,No,Curve
Tamil Nadu,2018,January,Friday,22:19,Serious,1,Truck,7,1,Clear,State Highway,Damaged,Daylight,Signals,55,27,None,No,Straight Road
Sikkim,2022,September,Thursday,22:07,Minor,2,Car,11,5,Foggy,State Highway,Wet,Dark,None,107,50,Valid,No,Bridge
Bihar,2021,June,Tuesday,06:44,Minor,5,Car,9,4,Clear,State Highway,Under Construction,Dark,None,44,16,Valid,No,Curve
Odisha,2019,September,Friday,08:19,Serious,2,Two-Wheeler,9,4,Clear,Village Road,Damaged,Dark,Signals,68,62,Expired,Yes,Curve
Telangana,2019,July,Friday,20:20,Minor,1,Car,6,5,Clear,Urban Road,Wet,Dawn,Signs,53,31,Valid,No,Intersection
Andhra Pradesh,2021,December,Thursday,07:47,Serious,4,Bus,14,4,Clear,State Highway,Under Construction,Dawn,Police Checkpost,119,16,None,No,Curve
Chhattisgarh,2019,May,Friday,00:21,Minor,4,Auto-Rickshaw,10,2,Foggy,Village Road,Dry,Dusk,Police Checkpost,56,42,Valid,No,Intersection
Madhya Pradesh,2019,November,Thursday,10:31,Serious,1,Car,11,0,Rainy,State Highway,Dry,Daylight,Police Checkpost,117,53,Valid,No,Curve
Assam,2021,August,Sunday,23:25,Minor,2,Pedestrian,9,5,Rainy,State Highway,Under Construction,Daylight,None,52,23,Expired,No,Curve
Nagaland,2018,March,Monday,08:16,Fatal,1,Pedestrian,7,1,Clear,National Highway,Under Construction,Dark,None,53,29,None,Yes,Curve
Karnataka,2020,May,Monday,02:21,Fatal,1,Two-Wheeler,6,1,Rainy,Village Road,Wet,Daylight,Police Checkpost,54,7,Expired,Yes,Straight Road
Chandigarh,2021,September,Thursday,23:48,Fatal,3,Truck,14,3,Clear,Urban Road,Wet,Daylight,None,119,60,Expired,Yes,Bridge
Arunachal Pradesh,2018,June,Sunday,04:11,Fatal,4,Cycle,13,1,Rainy,National Highway,Under Construction,Daylight,Police Checkpost,101,50,Valid,Yes,Curve
Puducherry,2018,July,Friday,12:56,Minor,3,Truck,11,0,Clear,National Highway,Under Construction,Dark,Police Checkpost,86,25,Expired,No,Curve
Gujarat,2021,June,Saturday,06:52,Minor,5,Car,12,1,Stormy,National Highway,Under Construction,Dark,Signals,56,31,None,No,Bridge
Tamil Nadu,2022,April,Saturday,14:54,Serious,1,Truck,6,2,Clear,Urban Road,Under Construction,Dawn,Signs,69,48,Expired,Yes,Curve
Assam,2022,November,Saturday,07:50,Fatal,5,Two-Wheeler,11,2,Foggy,National Highway,Damaged,Daylight,None,54,31,None,Yes,Intersection
Jharkhand,2018,March,Saturday,02:29,Minor,3,Bus,7,0,Clear,State Highway,Damaged,Dark,Signals,38,53,None,No,Straight Road
Meghalaya,2020,February,Sunday,14:16,Minor,1,Cycle,4,5,Clear,State Highway,Under Construction,Dark,None,54,53,None,No,Bridge
Bihar,2019,March,Tuesday,20:20,Fatal,5,Car,12,1,Clear,National Highway,Dry,Daylight,Signals,67,38,Expired,Yes,Straight Road
Manipur,2020,April,Monday,21:52,Serious,1,Car,7,3,Clear,State Highway,Under Construction,Daylight,Police Checkpost,69,32,None,No,Intersection
Uttarakhand,2019,July,Wednesday,19:50,Minor,4,Bus,9,5,Clear,State Highway,Dry,Daylight,Police Checkpost,69,50,Expired,No,Curve
Delhi,2018,January,Saturday,20:38,Fatal,3,Pedestrian,10,0,Clear,National Highway,Damaged,Dusk,None,90,59,Valid,Yes,Intersection
Bihar,2019,March,Saturday,06:04,Minor,1,Two-Wheeler,4,1,Clear,Urban Road,Under Construction,Daylight,Signs,35,30,Valid,No,Intersection
Tripura,2019,September,Friday,07:15,Serious,1,Car,11,1,Rainy,National Highway,Under Construction,Dawn,Signs,118,57,Expired,No,Curve
Haryana,2023,September,Wednesday,02:36,Minor,2,Truck,7,0,Rainy,Urban Road,Dry,Dawn,None,75,39,None,No,Bridge
Telangana,2019,October,Thursday,20:47,Fatal,2,Pedestrian,13,2,Clear,Urban Road,Under Construction,Dawn,None,116,30,Expired,Yes,Curve
Rajasthan,2018,August,Saturday,14:14,Serious,3,Auto-Rickshaw,15,0,Stormy,Village Road,Dry,Dusk,Signals,120,44,Valid,Yes,Bridge
Puducherry,2019,December,Wednesday,15:21,Minor,1,Bus,59,1,Clear,National Highway,Dry,Dark,Signals,73,46,Valid,No,Curve
Puducherry,2023,July,Sunday,12:12,Minor,5,Cycle,8,0,Clear,State Highway,Wet,Dusk,Signs,40,28,None,No,Bridge
Madhya Pradesh,2019,August,Saturday,12:46,Minor,5,Two-Wheeler,10,3,Foggy,Village Road,Dry,Dusk,Signals,31,63,Valid,No,Bridge
Uttar Pradesh,2023,November,Friday,15:18,Minor,1,Car,4,4,Stormy,Village Road,Wet,Dark,Signals,45,35,Valid,No,Bridge
Assam,2019,May,Sunday,20:55,Minor,3,Truck,10,0,Rainy,National Highway,Under Construction,Dark,Signals,100,34,Expired,No,Bridge
Chandigarh,2019,August,Thursday,17:40,Fatal,3,Truck,8,0,Clear,Urban Road,Dry,Dusk,Police Checkpost,64,43,Valid,Yes,Curve
Himachal Pradesh,2023,December,Friday,05:36,Fatal,3,Auto-Rickshaw,11,1,Clear,Village Road,Under Construction,Dark,Signals,78,28,Valid,Yes,Curve
Sikkim,2021,September,Saturday,04:57,Minor,5,Pedestrian,12,0,Clear,Village Road,Under Construction,Dark,Signs,91,66,None,No,Bridge
Odisha,2020,December,Monday,02:24,Fatal,5,Truck,12,0,Clear,Village Road,Dry,Daylight,Signs,66,41,None,Yes,Straight Road
Tamil Nadu,2023,January,Sunday,04:46,Minor,2,Cycle,5,5,Clear,State Highway,Under Construction,Dark,None,34,28,None,No,Curve
Karnataka,2020,August,Monday,19:24,Serious,5,Cycle,12,1,Rainy,Urban Road,Damaged,Daylight,Signs,73,59,None,No,Intersection
Delhi,2018,October,Sunday,17:59,Minor,5,Bus,13,4,Rainy,National Highway,Dry,Dusk,Signs,67,45,Valid,No,Bridge
Madhya Pradesh,2023,September,Saturday,23:11,Fatal,4,Bus,14,0,Rainy,Village Road,Under Construction,Dark,None,108,33,Expired,Yes,Curve
Puducherry,2020,October,Tuesday,20:35,Minor,5,Pedestrian,11,1,Clear,National Highway,Damaged,Dark,Signs,65,22,Expired,No,Bridge
Kerala,2020,July,Saturday,13:27,Serious,4,Cycle,12,3,Rainy,National Highway,Dry,Daylight,None,78,46,None,Yes,Curve
Assam,2020,December,Saturday,03:48,Minor,2,Pedestrian,6,2,Clear,National Highway,Damaged,Daylight,Signs,49,33,Valid,No,Intersection
Delhi,2022,September,Thursday,09:15,Fatal,2,Two-Wheeler,11,0,Rainy,State Highway,Damaged,Dusk,Signs,87,51,None,Yes,Straight Road
Haryana,2020,March,Monday,20:24,Serious,2,Bus,11,4,Clear,Urban Road,Under Construction,Dusk,Signals,91,53,Expired,Yes,Curve
